comp_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
ENSG00000047597,0.2646,0.2164,0.3069,0.5324,0.4179,0.5732,0.612,0.6043,0.301,0.6566,0.2788,0.1378,0.6138,0.1474,0.2923,0.5826,0.8951,0.9881,0.9849,0.7584,0.3781,0.4355,0.4759,0.495,0.4358,0.613,1.0289,0.5917,0.4504,1.2712,0.7407,0.5919,0.9017,0.4953,0.1517,0.3919,0.1238,0.1351,0.4558,0.6294,0.1894,0.4242
ENSG00000152904,0.1667,0.4106,0.1971,0.713,0.4136,0.7276,0.4809,0.5256,0.2895,0.5587,0.511,0.3673,0.3222,0.229,0.5546,0.4216,0.0751,0.7851,0.5375,0.6285,0.6675,0.3137,0.5387,0.2184,0.7783,0.3729,0.5249,0.3039,0.2764,0.4968,0.6763,0.2501,0.3045,0.5614,0.3875,0.7814,1.523,0.6094,0.1615,0.251,0.3581,0.6151
ENSG00000248527,0.1628,0.2688,0.3222,0.4726,0.3495,0.5174,0.5321,0.6018,0.1827,0.0392,0.2598,0.5362,0.5607,0.4068,0.6424,0.5134,0.5527,0.6375,0.5464,0.4643,0.3743,0.614,0.5182,0.4005,0.2825,0.5111,0.5163,0.816,0.4787,0.9011,0.649,0.2717,0.7137,0.8166,0.727,0.5434,0.3735,0.4927,0.4052,0.3701,0.6771,0.2131
ENSG00000141696,0.344,0.1941,0.4558,0.5577,0.1995,0.4586,0.6788,0.4878,0.3329,0.4612,0.3093,0.8357,0.9486,0.6567,0.8695,0.8701,1.5595,1.358,1.5389,5.7478,4.0896,0.3626,0.3567,0.534,0.4971,0.5828,0.5836,0.3206,0.6144,0.9983,0.3683,0.5623,0.5565,0.4619,0.4584,0.487,0.4188,0.2084,0.3773,0.4493,0.3859,0.8814
ENSG00000119729,0.2939,0.3963,0.3901,0.3329,0.428,0.4364,0.3712,0.792,0.0644,0.7435,0.819,0.9283,0.7712,0.6621,0.5679,0.4699,0.9102,0.6966,0.7227,0.5806,0.4925,0.4133,0.3718,0.3539,0.3481,0.5828,0.5113,0.8377,0.6327,0.2193,0.5483,0.437,0.4413,0.6127,0.3178,0.4384,0.0492,0.3435,0.7027,0.652,0.6114,0.4576
ENSG00000076053,0.3961,0.398,0.2862,0.3714,1.0046,1.4773,0.8595,0.472,0.6792,0.7409,0.6552,0.6652,0.3697,0.4879,0.3756,0.1963,0.1582,1.0115,0.999,1.1078,1.2577,0.1625,0.4927,0.5743,0.3161,0.3918,0.2633,0.3896,0.6905,0.6474,0.7643,0.5238,0.6174,0.7649,0.8053,0.1894,0.886,0.3492,0.8015,0.242,0.488,0.9076
ENSG00000171960,0.5955,0.3825,0.4249,0.3656,0.5724,0.4433,0.5927,0.2074,0.8746,0.6055,0.2252,0.9915,0.4257,0.4132,0.2003,0.4016,2.2426,1.091,0.9584,1.2006,1.4402,0.2481,0.3322,0.5198,0.7245,0.6048,0.905,0.1972,0.7096,1.1712,1.784,0.8833,0.3851,0.5798,0.1749,0.521,0.5009,0.7026,0.3472,0.4713,0.6662,0.5854
ENSG00000122707,0.1584,0.2912,0.3491,0.5491,0.2687,0.4601,0.5597,0.7248,0.1606,0.6203,0.9585,1.1295,0.6622,0.2812,0.5091,0.2177,0.1165,0.4812,0.5661,0.3548,0.2688,0.4251,0.5388,0.1948,0.3324,0.8008,0.718,0.1984,0.205,0.4304,0.3917,0.0542,0.2679,0.5044,0.3112,0.3377,0.1125,0.26,0.4972,1.0308,0.471,0.4578
ENSG00000180233,0.3032,0.2438,0.1665,0.312,0.4379,0.5962,0.6554,0.6411,0.4497,0.3929,0.4029,0.4554,0.6289,0.4728,0.556,1.6737,1.91,1.2331,0.9706,1.0894,0.8411,0.4897,0.3695,0.5072,0.3262,0.8017,0.5076,0.6559,1.4654,0.4234,0.7196,0.6759,0.9542,0.2746,0.1529,0.1449,0.6649,0.4742,0.4576,0.3804,0.7273,0.6778
ENSG00000198618,0.2544,0.3948,0.4756,0.5318,0.3706,0.1286,0.2699,0.2805,0.599,0.5798,0.5253,0.3593,0.4914,0.5369,0.5436,0.4424,0.4268,0.6983,0.6416,0.5323,0.3909,0.2236,0.4777,0.5296,0.5709,0.5616,0.3321,0.5325,0.7319,0.6631,0.9445,1.028,0.4262,0.5319,0.6256,0.2292,0.1553,0.4593,1.0674,0.6759,0.5262,0.2131
ENSG00000205133,0.3319,0.395,0.2264,0.666,0.2592,0.3662,0.3559,0.381,0.7698,0.3593,0.6309,0.7693,0.6057,0.6708,0.3584,0.9338,0.3461,0.615,0.5465,0.6286,0.2032,0.2888,0.4423,0.4268,0.5659,0.827,0.8047,0.4471,0.4042,0.7568,0.5292,0.3818,0.167,0.422,0.4735,0.6785,0.5233,0.6017,0.2057,0.3374,0.5948,0.587
ENSG00000161040,0.3512,0.2211,0.085,0.5927,0.4935,0.4124,0.2416,0.2246,0.2477,0.9556,0.5375,0.8767,0.7005,0.3741,0.1359,0.9395,0.405,0.3497,0.8253,0.2999,0.3677,0.5708,0.3424,0.3645,0.5212,0.4919,0.4553,0.7556,0.4526,0.5963,0.5548,0.7207,0.4433,0.3451,0.5742,0.5648,0.3849,0.5987,0.38,0.4187,0.1608,0.2747
ENSG00000173992,0.131,0.1078,0.0843,0.6979,0.5177,0.6259,0.6293,0.2603,0.2303,0.4523,0.575,0.8212,0.5854,0.3091,0.3375,0.5869,0.7385,0.5025,0.6654,0.5294,0.2859,0.3908,0.1976,0.1144,0.4346,0.4362,0.2293,0.2496,0.2097,0.7287,0.456,0.9902,0.381,0.4239,0.306,0.4396,0.2465,0.7295,0.4091,0.5911,0.5323,0.417
ENSG00000168779,0.3477,0.3,0.2789,0.9362,0.5498,0.4236,0.3433,0.4123,0.7902,0.8152,0.3496,0.4745,0.6703,0.3533,0.6996,1.0562,1.4341,1.6139,1.5611,4.8227,4.2487,0.5961,0.4501,0.2115,0.2289,0.5156,0.5809,0.465,1.0544,1.0949,0.5869,0.5849,0.567,0.5826,0.5867,0.5259,0.876,0.5826,0.6333,0.5277,0.8838,0.6268
ENSG00000169139,0.2858,0.2886,0.6934,0.9522,0.2589,0.5837,0.4073,0.9072,0.247,0.3047,0.5696,0.5596,0.4716,0.656,0.2945,0.3229,0.7759,0.2283,0.4323,0.4617,0.7766,0.1957,0.5929,0.0523,0.4474,0.7209,0.4975,0.4664,0.4195,0.6428,0.7837,0.3213,0.2873,0.3108,0.3697,0.5834,0.7806,0.3869,0.5657,0.7921,0.2968,0.5363
ENSG00000152117,0.3197,0.3271,0.6442,0.3868,0.4368,0.418,0.4126,0.5395,0.1445,0.8339,0.519,0.6502,0.5287,0.7779,0.7066,0.5005,0.6212,0.8899,0.381,0.6643,0.4241,0.57,0.5478,0.74,0.5414,0.6133,1.2674,0.6736,0.5362,0.3843,0.479,0.6669,0.5722,0.3109,0.2595,0.4846,0.2382,0.7027,0.6585,0.9232,0.5446,0.3581
ENSG00000152661,0.5831,0.2127,0.2233,0.6294,0.2868,0.3791,0.2982,0.1978,0.3439,0.2058,0.3758,1.3543,0.6387,0.6145,0.6598,0.4873,0.755,0.5788,0.5726,0.2088,0.2415,0.3495,0.3501,0.353,0.5766,0.3661,0.5785,0.732,0.3999,0.6332,0.4436,0.5515,0.3872,0.3637,0.3874,0.4976,0.0693,0.7494,0.4863,0.3172,0.5823,0.4789
ENSG00000101474,0.1566,0.2952,0.2091,0.8121,0.4673,0.2306,0.2169,0.2812,0.0501,0.815,0.7058,0.6101,0.2723,0.1836,0.3699,0.8005,0.4143,0.2742,0.5569,0.2147,0.2606,0.1062,0.44,0.4355,1.0976,0.4582,0.6131,0.5814,0.6902,0.5764,0.5429,0.3693,0.4007,0.5242,0.4052,0.7052,0.5,0.2333,0.3657,0.4225,0.5449,0.5049
ENSG00000092208,0.2923,0.1945,0.1803,0.3911,0.3475,0.3955,0.2565,0.2358,0.8767,0.7018,0.9371,1.2217,0.8759,0.4241,0.1681,0.6897,0.2745,0.4734,0.3366,0.2476,0.4836,0.9147,0.3878,0.3496,0.3812,1.6327,0.5994,0.6748,0.4149,0.5194,0.4738,0.3693,0.7199,0.453,0.1836,0.4208,0.0915,0.4154,0.5434,0.1604,0.2604,0.2056
ENSG00000100234,0.2555,0.372,0.2999,0.32,0.3906,0.3454,0.4745,0.2691,0.112,0.4884,0.6983,0.8893,0.8092,0.5463,0.6726,0.672,0.9824,0.6144,0.5229,0.4877,0.5054,1.3148,0.9823,0.8987,1.1216,1.1252,0.5423,0.2626,0.5471,1.4394,0.5451,0.2518,0.4467,0.5028,0.3762,0.3715,0.3033,0.3263,0.5316,0.5127,0.3985,0.5743
ENSG00000164068,0.3535,0.1513,0.2671,0.8814,0.4002,0.2827,0.451,0.3142,0.41,1.0741,0.6356,0.3998,0.1564,0.4724,0.2328,0.5718,1.3501,1.0198,0.4297,4.6135,4.3194,0.5171,0.4614,0.3603,0.8999,0.5565,0.6954,0.5137,0.8114,0.8332,1.0009,1.0683,0.5327,0.368,1.0364,0.7232,0.1894,0.2176,0.4462,0.3163,0.3708,0.4411
ENSG00000112033,0.1583,0.337,0.2279,0.5674,0.4109,0.3893,0.3292,0.4126,0.3587,0.0784,0.3906,0.6117,0.7788,0.801,0.392,1.2722,1.3527,0.8766,0.5457,1.0057,0.4849,0.3795,0.295,0.1924,0.3374,0.5507,0.7126,0.369,0.7945,0.8837,1.0088,0.3193,0.3322,0.3251,0.1457,0.3626,0.239,0.4796,0.4184,1.0956,0.6457,0.3236
ENSG00000161091,0.4011,0.2454,0.2555,0.4908,0.2495,0.3766,0.2394,0.4666,0.2404,0.651,0.8544,1.1275,0.6437,0.3935,0.2812,0.1722,0.7635,0.4635,0.3491,0.3383,0.4542,0.4756,0.4253,0.3793,0.7217,0.56,0.6293,0.7937,0.3688,0.4659,0.8791,0.5723,0.4162,0.6642,0.5823,0.3221,0.4228,0.4748,0.613,0.9917,0.8267,0.4193
ENSG00000153786,0.4716,0.1371,0.4515,0.6313,0.2248,0.4921,0.4402,0.2236,0.2845,0.5667,0.7146,0.7201,0.6764,0.293,0.2439,0.3711,0.8592,0.4204,0.6019,1.1196,0.8286,0.4408,0.4266,0.4272,0.4772,0.6616,0.6244,0.5781,0.6242,0.4222,1.3765,0.5643,0.4936,0.4566,0.5927,0.4954,0.2686,0.3097,0.4317,0.155,0.4078,0.1653
ENSG00000142494,0.3122,0.2828,0.4489,0.9385,0.272,0.5928,0.5472,0.8161,0.4044,0.6736,0.4212,0.5511,0.892,0.7218,0.5301,0.3119,0.6154,0.4459,0.4368,0.6725,0.7876,0.5275,0.6909,0.1813,0.6583,0.54,0.5102,0.5793,0.8378,0.3178,0.4301,0.3495,0.2614,0.5661,0.399,0.375,0.3324,0.215,0.308,0.2501,0.5516,0.5746
ENSG00000131844,0.4637,0.3088,0.1901,0.9259,0.5641,0.5958,0.5082,0.3481,0.0792,0.5882,0.5518,0.5446,0.6609,0.5642,0.4703,0.4215,0.4668,1.0015,0.6147,0.7785,0.2457,0.1413,0.2996,0.5731,0.689,0.4512,0.6196,0.1258,0.4318,0.603,0.179,0.0562,0.3423,0.4021,0.124,0.4749,0.7678,0.6892,0.4695,0.6866,0.6141,0.3968
ENSG00000004660,0.2827,0.2058,0.215,0.4609,0.3681,0.5264,0.3041,0.197,0.6993,0.6071,0.4887,0.383,0.8262,0.5485,0.6723,0.5006,1.3101,0.6581,0.6784,0.4832,0.2291,0.3721,0.3138,0.5007,0.8923,0.9692,0.2666,0.7392,0.7003,0.8265,0.7215,1.1426,0.635,0.3789,0.3878,1.1612,0.6487,0.242,0.4052,0.8175,0.6943,0.2007
ENSG00000162623,0.2629,0.2562,0.1177,0.747,0.3781,0.457,0.5568,0.2825,0.4582,0.4052,0.5288,0.6258,0.5307,0.4966,0.5244,0.5201,0.9292,0.6114,0.6404,0.429,0.6469,0.4196,0.8602,0.6282,0.8068,0.5873,0.4914,0.4444,0.4751,0.4463,0.6096,0.4998,0.6174,0.4327,0.2195,0.3385,0.6895,0.6949,0.6858,0.4749,0.6472,0.3024
ENSG00000095203,0.5076,0.1989,0.2487,0.622,0.6219,0.2377,0.412,0.3463,0.5366,0.9413,1.1008,1.0482,0.4519,0.6086,0.3276,0.7915,0.612,0.2917,0.3,0.1698,0.3382,0.5475,0.6951,0.5052,0.3814,0.5607,0.44,0.5069,0.4505,0.7162,1.1745,0.2808,0.0542,0.1971,0.439,0.5811,0.4728,0.4382,0.2631,0.5302,0.3044,0.4368
ENSG00000005020,0.6888,0.2919,0.2213,0.6069,0.6115,0.3626,0.139,0.2076,0.4219,0.5406,0.4522,0.6042,0.7665,0.7919,0.4988,0.3706,0.3173,0.8673,0.272,0.6495,0.762,0.7367,0.6262,0.5995,0.6272,0.5792,0.4712,0.398,0.3674,0.8825,0.2585,0.4007,0.574,0.2308,0.5878,0.3725,0.564,0.4665,0.6249,0.5532,0.5163,0.5426
ENSG00000266412,0.4174,0.2504,0.3661,0.5879,0.3097,0.4321,0.6867,0.5843,0.4838,0.3216,0.3643,0.7941,0.6145,0.2127,0.3573,0.219,0.7343,0.7559,0.5235,0.203,0.2002,0.4574,0.4977,0.5164,0.6879,0.6754,0.3624,0.5133,0.7069,0.674,0.8973,0.5478,0.3231,0.3458,0.2885,0.4774,0.4538,0.6143,0.4698,0.2317,0.3512,0.1735
ENSG00000035403,0.4578,0.2458,0.4865,0.7223,0.2182,0.487,0.5615,0.3132,0.2099,0.4906,0.6703,0.923,0.5584,0.6016,0.8066,0.496,0.6231,0.3391,0.2933,0.9787,0.4458,0.3532,0.597,0.3321,0.4762,0.625,0.3745,0.7385,0.4315,0.9943,0.5912,0.689,0.4699,0.3721,0.0364,0.5611,0.3497,0.4898,1.1383,0.5062,0.7964,0.1613
ENSG00000078804,0.2013,0.6809,0.5925,0.65,0.2605,0.1959,0.7559,0.4101,0.862,0.4266,0.3223,0.3541,0.5082,0.3209,0.4208,0.5295,1.3115,1.533,0.4552,0.8596,1.7781,0.6546,0.3971,0.6391,0.4942,0.2323,0.2147,0.4787,0.1654,0.5425,0.3642,0.2978,1.2647,0.5595,0.3397,0.7509,0.7414,0.2909,0.6028,0.8892,0.5525,0.53
ENSG00000272398,0.4169,0.2348,0.5114,0.4993,0.4361,0.1891,0.325,0.2301,0.3896,0.6901,0.9181,1.2707,0.7948,0.1828,0.3767,0.8618,0.6879,0.5637,0.4113,0.6275,0.2908,1.6098,0.4202,0.3302,1.211,0.5524,0.8557,0.4353,0.2006,0.5408,0.6111,0.3381,0.5496,0.9418,0.4964,0.6085,0.6251,0.5883,0.4352,0.6163,0.5587,0.4364
ENSG00000154839,0.2955,0.1,0.3496,0.6033,0.8323,0.4705,0.4895,0.451,0.2454,0.3202,0.7659,0.7977,0.7824,0.5435,0.6398,0.9319,1.1504,1.4439,0.6994,5.4048,4.9623,0.5184,0.5128,0.6327,0.4552,0.7623,0.3799,0.6685,0.3887,0.1588,0.478,0.6288,0.6476,0.4323,0.6204,0.6446,0.1215,0.4643,0.6697,0.4158,0.469,0.839
ENSG00000163870,0.4564,0.5457,0.0975,0.6739,0.5119,0.7844,0.7197,0.5196,0.7638,0.6873,0.5687,0.5553,0.747,0.5323,0.35,0.4255,0.6184,0.3788,0.2861,0.5042,0.7184,0.4322,0.3268,0.534,0.666,0.1812,0.4207,0.3111,0.7559,0.6488,0.4381,0.7035,0.293,0.3028,0.2191,0.3287,0.7526,0.3016,0.83,0.2313,0.6153,0.1728
ENSG00000102100,0.368,0.2616,0.1779,0.6268,0.4265,0.3522,0.438,0.3418,0.72,0.7827,0.8262,1.1974,0.8637,0.3881,0.2003,0.6546,0.6773,0.9497,0.5776,0.5148,0.3175,0.5626,0.6414,0.3075,0.3524,0.4249,0.8628,0.7987,0.8647,0.5449,0.816,0.2863,0.6104,0.4248,0.3073,0.4496,0.3876,0.2153,0.3252,0.4457,0.7154,0.3041
ENSG00000115459,0.4151,0.3263,0.4522,0.5902,0.2983,0.4362,0.4054,0.5495,0.4911,0.76,0.8015,1.1395,0.3923,0.7834,0.5144,0.6222,1.2634,0.6306,0.6319,0.6097,0.2715,0.6582,0.9402,0.7338,0.3865,0.2863,0.3293,0.8228,0.4115,1.6548,1.0625,0.4257,0.272,0.4467,0.5743,0.5979,0.6925,0.363,0.3328,0.8707,0.5195,0.3188
ENSG00000166889,0.4445,0.414,0.3375,0.4911,0.2457,0.3756,0.6214,0.4241,0.5777,0.5069,0.356,0.9117,0.9104,0.2901,0.2841,0.2398,0.3534,0.5811,0.9703,0.8383,0.3901,0.3744,0.3267,0.5777,0.885,0.4724,0.536,0.7018,1.0194,0.672,0.6821,0.2495,0.2433,0.4269,0.4078,0.7444,0.8177,0.6703,0.5056,0.2572,0.3268,0.7436
ENSG00000122862,0.2005,0.2188,0.1836,0.9116,0.5269,0.5418,0.438,0.3297,0.5653,0.8033,0.8753,1.0026,0.2075,0.3361,0.2879,0.6813,0.4048,0.9268,0.7267,0.6055,0.4378,0.45,0.4568,0.3119,0.2502,0.4757,0.5785,0.3384,0.3161,1.4257,0.6388,0.7657,0.2092,0.3759,0.348,0.501,1.0694,0.2291,0.393,0.9744,0.6599,0.3229
ENSG00000134709,0.3905,0.2994,0.204,0.3188,0.6537,0.6438,0.9276,0.8156,0.7248,0.645,0.3141,0.644,0.5803,0.5582,0.9695,0.1992,1.7612,1.4747,0.6561,0.9664,0.8227,0.2899,0.2828,0.201,0.6406,0.8709,0.2616,0.2177,0.6434,0.7324,0.2195,0.2572,0.6698,0.235,0.2154,0.5604,0.3471,0.3539,0.5728,0.4846,0.6566,0.1982
ENSG00000279453,0.4472,0.1842,0.2132,0.4525,0.4004,0.7521,0.7039,0.5187,0.7349,0.5101,0.6361,0.4841,0.6665,0.8837,0.4738,0.6311,1.2409,0.9849,0.9316,0.7578,0.6385,0.4554,0.4875,0.3163,0.2362,0.9752,0.4849,0.3746,0.5805,1.3593,1.1328,0.6792,0.6737,0.5874,0.556,0.3519,0.8197,0.5197,0.5899,0.5599,0.2255,0.2965
ENSG00000279821,0.3928,0.1639,0.2452,0.8072,0.5459,0.1505,0.1669,0.2382,0.3393,0.3292,0.8782,1.0992,0.9893,0.1643,0.6604,0.7615,0.4596,0.5962,0.4161,0.3578,0.9723,0.5021,0.475,0.3143,0.3777,0.7701,0.3456,0.5627,0.3305,0.5037,0.6254,0.2555,0.7601,0.2679,0.7982,0.2089,0.6772,0.4815,0.2652,0.5146,0.5752,0.7236
ENSG00000126790,0.3263,0.271,0.0986,0.7201,0.4061,0.5009,0.5225,0.4447,0.3035,0.7313,0.3587,0.7283,0.9632,0.4908,0.1648,0.1387,0.5931,0.7518,0.6949,0.9154,1.0585,0.2511,0.4295,0.3869,0.7641,1.01,0.5625,0.6754,0.9209,1.2857,0.9607,0.615,0.7662,0.5122,0.2356,0.4586,0.3382,0.2301,0.5395,0.2866,0.2797,0.4763
ENSG00000147535,0.2176,0.1821,0.1684,0.3604,0.2018,0.523,0.3068,0.0812,0.1485,0.2222,0.5149,0.7823,0.3131,0.3893,0.168,0.1094,0.7441,0.3967,0.6141,0.2627,0.1951,0.6112,0.3546,0.6771,0.6897,0.3317,0.5108,0.4785,1.2799,1.5189,0.7718,0.4696,0.2713,0.209,0.454,0.3218,0.676,0.6359,0.6363,0.4233,0.2313,0.2435
ENSG00000185896,0.3703,0.3558,0.4996,0.7971,0.4669,0.7154,0.3477,0.6454,0.6616,0.7393,0.1576,0.5782,0.5569,0.5813,0.4307,0.6625,0.4682,0.1201,0.2226,0.3185,0.2851,0.4625,0.5827,0.3082,0.1327,0.2607,0.2766,0.2016,0.5061,0.1248,0.5298,0.7818,0.9349,0.3375,0.4148,0.4644,0.4186,0.4462,0.7011,0.6786,0.7362,0.7824
ENSG00000134597,0.1927,0.1519,0.3928,0.4876,0.3723,0.3896,0.5497,0.3187,0.4623,0.3038,0.3487,0.4293,0.7577,0.3867,0.2639,0.38,0.6664,0.8047,0.5913,0.6055,0.2959,0.6322,0.3701,0.3179,0.7585,0.4988,0.1984,0.4737,0.5442,0.8795,0.3773,0.5125,0.4229,0.5112,0.298,0.3688,0.2722,0.11,0.6768,0.2561,0.815,0.6677
ENSG00000262454,0.4093,0.2702,0.6543,0.5673,0.6797,0.6218,0.6611,0.8328,0.242,0.4026,0.7968,0.6021,0.4117,1.0235,0.2552,0.591,0.186,0.0855,0.1314,0.5661,0.5176,0.5481,0.6663,1.8238,0.6346,0.8277,0.595,1.3111,1.4065,0.5107,0.7016,0.524,0.2546,0.3295,0.1625,0.4865,0.4039,0.6366,0.4692,0.9582,0.9223,0.4616
ENSG00000139865,0.0933,0.2741,0.4403,0.6948,0.5201,0.337,0.776,0.4994,0.5029,0.0991,0.5304,0.6418,0.4427,0.3862,0.5305,0.6414,0.3309,0.4496,0.7878,1.2398,0.5476,0.4171,0.2446,0.6837,0.712,0.9927,0.3602,1.0148,0.4528,0.4338,0.8103,0.3121,0.2631,0.5775,0.4991,1.2169,0.4533,0.247,0.4844,0.5385,0.5851,0.1423
ENSG00000196704,0.4322,0.1742,0.3537,0.3959,0.4922,0.6749,0.514,0.327,0.3324,0.6883,0.7533,0.8249,0.6075,0.2154,0.2113,0.5439,1.3602,1.1368,0.6215,0.4459,1.7377,0.2458,0.4065,0.6238,0.8809,0.7338,0.6124,0.4954,0.843,0.3405,0.506,0.5586,0.5564,0.4792,0.5308,0.3194,0.2621,0.3068,0.2423,0.2514,0.8355,0.5955
ENSG00000140299,0.0632,0.3322,0.1692,0.9867,0.2234,0.1843,0.1983,0.801,0.3823,0.3594,0.5386,0.4601,0.3015,0.4998,0.4446,0.3169,0.4916,0.3582,0.5583,0.2688,0.4204,0.6788,0.5327,0.2421,0.432,0.6212,0.5559,0.5079,0.7828,0.536,0.4993,0.7772,0.199,0.1398,0.527,0.6521,0.6694,0.886,1.0365,0.6692,0.2711,0.3833
ENSG00000124762,0.4051,0.1686,0.2107,0.8936,0.5195,0.4625,0.3932,0.2296,0.345,0.3126,0.4299,0.4683,0.4688,0.5817,0.7012,0.3897,1.1917,1.2103,0.8047,0.6047,0.3847,0.5072,0.6952,0.7086,1.1935,0.6961,0.8193,0.4911,0.5107,0.4945,0.4988,0.5592,0.4638,0.3267,0.3191,0.2465,0.1529,0.3414,0.5101,0.3441,0.8989,0.5399
ENSG00000160789,0.2167,0.2453,0.2616,1.0859,0.7827,0.7713,0.3694,0.2188,0.0344,0.4566,0.5639,0.9238,0.3305,0.2649,0.4233,0.2136,0.3725,0.8507,0.6975,0.3371,0.5301,0.6102,0.403,0.2396,0.2584,0.3047,0.7714,0.3846,0.6796,0.5166,0.8909,0.656,0.3704,0.3191,0.3108,0.1454,0.5403,0.7256,0.8472,0.5286,0.4845,0.8459
ENSG00000198791,0.1195,0.1609,0.1704,0.4746,0.4096,0.3766,0.3958,0.1891,0.1728,0.1243,0.4137,0.5779,0.2389,0.4181,0.4222,0.3724,0.3076,0.4735,0.4074,0.4287,0.6382,0.5263,0.5715,0.3865,0.4433,0.5511,0.548,0.5509,1.0106,1.4057,0.7319,0.2361,0.6363,0.4545,0.224,0.2854,0.1262,0.3078,0.4979,0.3099,0.3293,0.4102
